DATE,DEX,AMOUNT,TRADERS
2021-10-16,ref,289812.78,215
2022-02-25,ref,956350.81,49
2022-10-27,ref,920846.42,19
2022-07-10,jumbo,95.5,3
2022-07-31,ref,506351.04,27
2022-05-19,jumbo,2.2,1
2022-02-27,jumbo,7.48,1
2022-06-11,ref,1091958.1,35
2021-09-25,ref,754304.5,147
2022-01-21,ref,1739353.55,105
2022-10-16,ref,176430.83,18
2022-10-22,ref,148286.92,16
2022-04-26,jumbo,16.92,2
2022-07-04,jumbo,69,3
2022-09-27,jumbo,0.64,1
2022-03-03,jumbo,77.3,1
2022-01-13,ref,728445.65,64
2021-11-05,ref,700539.14,122
2022-01-08,ref,523450.77,82
2022-10-31,ref,336234.29,16
2022-09-11,ref,672429.87,30
2022-05-08,ref,2841740.96,43
2022-03-02,jumbo,30.14,2
2022-06-05,jumbo,232.37,4
2022-04-11,jumbo,1.63,1
2022-11-12,jumbo,0.37,2
2022-02-23,ref,882400.94,32
2021-10-30,ref,223023.16,234
2022-07-20,ref,1041426.45,39
2021-12-14,ref,439847.49,44
2022-06-20,ref,1627354.52,35
2022-06-21,ref,1213572.72,31
2022-08-16,ref,443344.37,35
2022-11-13,jumbo,25.65,3
2022-06-28,jumbo,191.63,3
2022-11-18,jumbo,0.16,1
2022-02-19,jumbo,1458.73,2
2021-09-29,ref,673457.52,170
2022-07-12,ref,271223.36,22
2022-09-15,ref,500348.05,43
2022-05-31,jumbo,405.83,4
2022-07-03,jumbo,30.41,3
2022-06-23,ref,865682.98,17
2022-03-12,jumbo,12.39,2
